Run,altitude,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Id,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR11364386,not collected,AMPLICON,602,37146410,PRJNA613763,SAMN14419196,Metagenome or environmental,21755123,HENAN AGRICULTURAL UNIVERSITY,2019,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7965734,China,Asia,"China:Xuchang\,Henan Province",18,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-18,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:54:00Z,1,sample18,N360-10,SRP253595,not collected
SRR11364387,not collected,AMPLICON,602,33554878,PRJNA613763,SAMN14419195,Metagenome or environmental,19850861,HENAN AGRICULTURAL UNIVERSITY,2019,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7965733,China,Asia,"China:Xuchang\,Henan Province",17,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-17,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:54:00Z,1,sample17,N360-10,SRP253595,not collected
SRR11364388,not collected,AMPLICON,602,31128216,PRJNA613763,SAMN14419194,Metagenome or environmental,18352535,HENAN AGRICULTURAL UNIVERSITY,2019,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7965732,China,Asia,"China:Xuchang\,Henan Province",16,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-16,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:54:00Z,1,sample16,N240-10,SRP253595,not collected
SRR11364389,not collected,AMPLICON,602,35478268,PRJNA613763,SAMN14419193,Metagenome or environmental,20991138,HENAN AGRICULTURAL UNIVERSITY,2019,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7965731,China,Asia,"China:Xuchang\,Henan Province",15,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-15,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:54:00Z,1,sample15,N240-10,SRP253595,not collected
SRR11364390,not collected,AMPLICON,602,32499572,PRJNA613763,SAMN14419192,Metagenome or environmental,19147651,HENAN AGRICULTURAL UNIVERSITY,2019,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7965730,China,Asia,"China:Xuchang\,Henan Province",14,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-14,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:53:00Z,1,sample14,N240-10,SRP253595,not collected
SRR11364391,not collected,AMPLICON,602,25151560,PRJNA613763,SAMN14419191,Metagenome or environmental,14844854,HENAN AGRICULTURAL UNIVERSITY,2019,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7965729,China,Asia,"China:Xuchang\,Henan Province",13,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-13,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:54:00Z,1,sample13,N240-10,SRP253595,not collected
SRR11364392,not collected,AMPLICON,602,27676950,PRJNA613763,SAMN14419190,Metagenome or environmental,16320702,HENAN AGRICULTURAL UNIVERSITY,2019,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX7965728,China,Asia,"China:Xuchang\,Henan Province",12,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-12,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:54:00Z,1,sample12,N180-10,SRP253595,not collected
SRR11364393,not collected,AMPLICON,602,31358180,PRJNA613763,SAMN14419189,Metagenome or environmental,18382863,HENAN AGRICULTURAL UNIVERSITY,2019,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7965727,China,Asia,"China:Xuchang\,Henan Province",11,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-11,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:54:00Z,1,sample11,N180-10,SRP253595,not collected
SRR11364394,not collected,AMPLICON,602,29543150,PRJNA613763,SAMN14419180,Metagenome or environmental,17343178,HENAN AGRICULTURAL UNIVERSITY,2019,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7965726,China,Asia,"China:Xuchang\,Henan Province",2,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-2,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:54:00Z,1,sample02,N0-10,SRP253595,not collected
SRR11364395,not collected,AMPLICON,602,29262016,PRJNA613763,SAMN14419179,Metagenome or environmental,17212145,HENAN AGRICULTURAL UNIVERSITY,2019,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7965725,China,Asia,"China:Xuchang\,Henan Province",1,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-1,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:54:00Z,1,sample01,N0-10,SRP253595,not collected
